利用者連番,利用者ID,タグ／ＱＲフラグ,タグ／ＱＲフラグ,利用者分類ID,利用者分類,利用者名,フリガナ,年齢,携帯電話番号,自宅電話番号,メールアドレス,本人確認書類,本人確認チェック済,本人確認チェック済,本人確認日時,退会フラグ,退会フラグ,退会日
2,486282,1,ＱＲ,38,,"吉田 和也",731117,27,'0927-37-2870,'0249-37-2826,btanabe@yoshida.jp,社員証,3,手動チェックOK,"2018-12-19 10:58:54",1,はい,2018-11-14
3,815566,0,タグ,,,"野村 明美",988739,27,'0500-161-705,'05431-1-8422,nguoidepbentoi@gmail.com,免許証,3,手動チェックOK,"2019-08-16 11:09:00",0,いいえ,2018-12-06
4,298043,0,タグ,0,,"桐山 和也",キリヤマカズヤ,68,'090-8480-3103,'07-6852-0121,rei.kato@hotmail.co.jp,学生証,3,手動チェックOK,"2018-12-20 00:00:00",0,いいえ,2018-11-22
5,690877,0,タグ,18,,"吉本 明美",993730,44,'090-5070-9206,'080-7245-1864,ito.nanami@aota.com,学生証,3,手動チェックOK,"2018-11-11 16:00:42",1,はい,2018-11-26
6,640879,1,ＱＲ,71,,"喜嶋 裕美子",409051,65,'090-0180-0125,'090-8364-8316,yoshida.yumiko@kudo.net,学生証,3,手動チェックOK,"2018-12-01 13:32:40",1,はい,2018-11-25
7,946519,0,タグ,0,,"伊藤 幹",745717,57,'04-2612-3527,'0946-09-6794,ogaki.hanako@mail.goo.ne.jp,免許証,5,自動チェックNG,"2018-12-24 20:09:56",1,はい,2018-11-16
8,284901,0,タグ,30,,"山本 和也",341848,52,'08938-6-1618,'0766-42-6960,fkijima@murayama.jp,免許証,5,自動チェックNG,"2019-02-26 16:53:12",0,いいえ,2018-11-11
9,118133,0,タグ,68,,"坂本 知実",490773,21,'090-6800-0773,'00-6031-9878,hmatsumoto@kijima.biz,学生証,3,手動チェックOK,"2018-11-22 21:31:41",1,はい,2018-11-16
10,852369,1,ＱＲ,34,,"小泉 修平",609111,54,'07738-0-8215,'069-694-1893,suzuki.hanako@miyake.org,そのほか,3,手動チェックOK,"2018-11-18 02:57:32",1,はい,2018-11-30
11,391643,0,タグ,13,,"喜嶋 拓真",323714,29,'080-0087-3231,'090-2769-3869,yui92@nagisa.com,免許証,5,自動チェックNG,"2018-11-18 06:00:24",0,いいえ,2018-11-15
